name,url,price,imgs
Striped Twist Detailed Tube Top,/en/products/striped-twist-detailed-tube-top-blackwhite-1100-009079-0041,29.97,"/globalassets/majawyh_striped-twist-detailed-tube-top_1100-009079-0041_2_social.jpg?ref=8022E495A0, /globalassets/striped_twist_fetailed_tube_top-1100-009079-0041_5088_01c.jpg?ref=DD3D7A4C65, /globalassets/striped_twist_fetailed_tube_top-1100-009079-0041_5123.jpg?ref=0C42ABEA31, /globalassets/striped_twist_fetailed_tube_top-1100-009079-0041_5111.jpg?ref=228C5A7015, /globalassets/striped_twist_fetailed_tube_top-1100-009079-0041_5116.jpg?ref=2405D97611, /globalassets/majawyh_striped-twist-detailed-tube-top_1100-009079-0041_6_social.jpg?ref=96AAC3515C, /globalassets/ashtonwood_1100-009079-0041_social_2.jpg?ref=6BF02FCF4A, /globalassets/striped_twist_detailed_tube_top-1100-009079-0041_7245_flatlayf.jpg?ref=79D2445553"
Cropped Tube Top,/en/products/cropped-tube-top-white-1100-006164-0001,11.97,"/globalassets/cropprd_tube_top_1100-006164-00012550.jpg?ref=F54C432030, /globalassets/cropprd_tube_top_1100-006164-00012552.jpg?ref=603C42127C, /globalassets/cropprd_tube_top_1100-006164-00012533_01c.jpg?ref=6D4ECB574A, /globalassets/cropprd_tube_top_1100-006164-00012537.jpg?ref=3A530DA3EF, /globalassets/cropped_tube_top-_1100-006164-0001_11_flatlay.jpg?ref=7156376D47, /globalassets/viv.may_1100-006164-0001_social.jpg?ref=D6C2D729D0"
Boat Neck Long Sleeve Top,/en/products/boat-neck-long-sleeve-top-white-1018-010381-0001,23.97,"/globalassets/victoriawaldau_1018-010381-0001_social.jpg?ref=8367C7A644, /globalassets/boat-neck_long_sleeve_top-1018-010381-0001_5409.jpg?ref=4F64DD53BA, /globalassets/boat-neck_long_sleeve_top-1018-010381-0001_5422.jpg?ref=2690FCF13D, /globalassets/boat-neck_long_sleeve_top-1018-010381-0001_5398_01c.jpg?ref=E3B3E743F9, /globalassets/boat-neck_long_sleeve_top-1018-010381-0001_5411.jpg?ref=FD00B3BA7B, /globalassets/josefinehj_1018-010381-0001_social.jpg?ref=87DD9AA2B3, /globalassets/boat_neck_long_sleeve_top-1018-010381-0001_5470_flatlayf-1.jpg?ref=7216E73F1F"
Cropped Tube Top,/en/products/cropped-tube-top-black-1100-006164-0002,11.97,"/globalassets/cropped_tube_top_1100-006164-000213642.jpg?ref=0DA6102C98, /globalassets/cropped_tube_top_1100-006164-000213652.jpg?ref=02280118AC, /globalassets/cropped_tube_top_1100-006164-000213634.jpg?ref=F7783CEFAF, /globalassets/cropped_tube_top_1100-006164-000213647.jpg?ref=3CABFDBE6A, /globalassets/cropped_tube_top_1100-006164-0002_1.jpg?ref=ED8904CAF0"
Tie Front Linen Dress,/en/products/tie-front-linen-dress-beige,11.98,"/globalassets/tie_front_linen_dress_1100-004343-0005_20664.jpg?ref=2965B490B6, /globalassets/tie_front_linen_dress_1100-004343-0005_20651.jpg?ref=5A241D4E03, /globalassets/tie_front_linen_dress_1100-004343-0005_20634.jpg?ref=FCFAE33C1E, /globalassets/tie_front_linen_dress_1100-004343-0005_20657.jpg?ref=378C689589, /globalassets/taralesecret_1100-004343-0005_1_social-1.jpg?ref=199EEDA1A1"
Deep Back Knitted Maxi Dress,/en/products/deep-back-knitted-maxi-dress-cream-1100-009018-0021,54.97,"/globalassets/victoriatornegren_1100-009018-0021_social_1.jpg?ref=2521869F8E, /globalassets/deep_back_knitted_maxi_dress_1100-009018-0021_10448.jpg?ref=1BBEF0EDC2, /globalassets/deep_back_knitted_maxi_dress_1100-009018-0021_10458.jpg?ref=880D4B79B9, /globalassets/deep_back_knitted_maxi_dress_1100-009018-0021_10427-copy.jpg?ref=F69E45DFCA, /globalassets/deep_back_knitted_maxi_dress_1100-009018-0021_10454.jpg?ref=FE90DCC9A5, /globalassets/emilietommerberg_1100-009018-0021_social.jpg?ref=F9B4F19FC3"
Boat Neck Long Sleeve Top,/en/products/boat-neck-long-sleeve-top-black-1018-010381-0002,23.97,"/globalassets/nakd_boat_neck_long_sleeve_top_1018-010381-0002_3864.jpg?ref=82B21527AC, /globalassets/nakd_boat_neck_long_sleeve_top_1018-010381-0002_3926.jpg?ref=875E62FEA4, /globalassets/nakd_boat_neck_long_sleeve_top_1018-010381-0002_01c.jpg?ref=05E2D045D8, /globalassets/nakd_boat_neck_long_sleeve_top_1018-010381-0002_3906.jpg?ref=EA2F4E1373, /globalassets/nakd_boat_neck_long_sleeve_top_1018-010381-0002_3945.jpg?ref=1F0D742851, /globalassets/boat_neck_long_sleeve_top_1018-010381-0002_curated_1.jpg?ref=20CFCE6C79, /globalassets/boat_neck_long_sleeve_top_1018-010381-0002_curated.jpg?ref=55E1C952DF"
Linen Wide Leg Pants,/en/products/linen-wide-leg-pants-beige,65.97,"/globalassets/nakd_1594-000400-0005_23453.jpg?ref=8001193F1E, /globalassets/linen_wide_leg_pants_1594-000400-0005_one_shoulder_linen_blend_top_1100-008959-0005_coored_stone_bead_necklace_1100-009725-0324_long_colored_stone_bead_earrings_1100-009726-03244137.jpg?ref=D792187651, /globalassets/linen_wide_leg_pants_1594-000400-0005_one_shoulder_linen_blend_top_1100-008959-0005_coored_stone_bead_necklace_1100-009725-0324_long_colored_stone_bead_earrings_1100-009726-03244076.jpg?ref=A879F0F280, /globalassets/linen_wide_leg_pants_1594-000400-0005_one_shoulder_linen_blend_top_1100-008959-0005_coored_stone_bead_necklace_1100-009725-0324_long_colored_stone_bead_earrings_1100-009726-03244128.jpg?ref=51BAF934C6, /globalassets/linen_wide_leg_pants_1594-000400-0005_one_shoulder_linen_blend_top_1100-008959-0005_coored_stone_bead_necklace_1100-009725-0324_long_colored_stone_bead_earrings_1100-009726-03244134.jpg?ref=7FA8B35004, /globalassets/linen_wide_leg_pants_1594-000400-0005_creative_1.jpg?ref=C55259640D, /globalassets/nakd_linen_wide_leg_pants_1594-000400-0005_edit.jpg?ref=E9361025FC, /globalassets/linen_wide_leg_pants_1594-000400-00052598_flatlayf.jpg?ref=717E0939CB"
Thin Basic Strap Singlet,/en/products/thin-basic-strap-singlet-black-1044-000200-0002,11.97,"/globalassets/thin-basic-strap-singlet-black-1044-000200-0002_10.jpg?ref=D8D0D9717D, /globalassets/nakd_thin_basic_strap_singlet-1044-000200-0002_12468.jpg?ref=FD57EEBBD2, /globalassets/nakd_thin_basic_strap_singlet-1044-000200-0002_12476.jpg?ref=85F019DD42, /globalassets/nakd_thin_basic_strap_singlet-1044-000200-0002_12439_01c.jpg?ref=DD27F59B59, /globalassets/nakd_thin_basic_strap_singlet-1044-000200-0002_12446.jpg?ref=C7EE600FCF, /globalassets/nakd_thin_basic_strap_singlet-1044-000200-0002_12443.jpg?ref=99C065543C, /globalassets/nakd_1044-000200-0002_curated.jpg?ref=DF8B0A87F1, /globalassets/thin-basic-strap-singlet_1044-000200-0002_flatlayf.jpg?ref=50EF537143"
Elastic Linen Shorts,/en/products/elastic-linen-shorts-beige,41.97,"/globalassets/elastic_linen_shorts_1018-007428-0005_35133-copy_01c.jpg?ref=C22D718970, /globalassets/elastic_linen_shorts_1018-007428-0005_35161.jpg?ref=65EA090984, /globalassets/elastic_linen_shorts_1018-007428-000535179.jpg?ref=86AB5C66D6, /globalassets/elastic_linen_shorts_1018-007428-0005_35169.jpg?ref=347B63BB9F"
